Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.1690        -328.1880    -330.4332       2.2452   327.7
0.1695        -328.1647    -330.4854       2.3207   338.7
0.1700        -328.1446    -330.5305       2.3859   348.3
0.1705        -328.0884    -330.5533       2.4649   359.8
0.1710        -328.1194    -330.5486       2.4292   354.6
0.1715        -328.1589    -330.5216       2.3627   344.9
0.1720        -328.2202    -330.4892       2.2690   331.2
0.1725        -328.2223    -330.4656       2.2433   327.5
0.1730        -328.2789    -330.4627       2.1838   318.8
0.1735        -328.2307    -330.4769       2.2462   327.9
0.1740        -328.2225    -330.5055       2.2831   333.3
0.1745        -328.2755    -330.5408       2.2654   330.7
0.1750        -328.2154    -330.5652       2.3499   343.0
0.1755        -328.2123    -330.5646       2.3523   343.4
0.1760        -328.2015    -330.5255       2.3240   339.2
0.1765        -328.2128    -330.4614       2.2486   328.2
0.1770        -328.2081    -330.3988       2.1908   319.8
0.1775        -328.2250    -330.3452       2.1201   309.5
0.1780        -328.2575    -330.3041       2.0466   298.7
0.1785        -328.2999    -330.2812       1.9813   289.2
0.1790        -328.3589    -330.2759       1.9171   279.8
0.1795        -328.3447    -330.2911       1.9463   284.1
0.1800        -328.3474    -330.3145       1.9671   287.1
0.1805        -328.3289    -330.3352       2.0063   292.9
0.1810        -328.3283    -330.3463       2.0180   294.6
0.1815        -328.3709    -330.3485       1.9776   288.7
0.1820        -328.3888    -330.3436       1.9548   285.3
0.1825        -328.4414    -330.3294       1.8880   275.6
0.1830        -328.4630    -330.3160       1.8530   270.5
0.1835        -328.4688    -330.3112       1.8423   268.9
0.1840        -328.4557    -330.3251       1.8695   272.9
0.1845        -328.4782    -330.3639       1.8858   275.3
0.1850        -328.4849    -330.4335       1.9486   284.4
0.1855        -328.4481    -330.5222       2.0741   302.8
0.1860        -328.4572    -330.6112       2.1541   314.4
0.1865        -328.4574    -330.6795       2.2221   324.4
0.1870        -328.4375    -330.7027       2.2652   330.6
0.1875        -328.4644    -330.6786       2.2141   323.2
0.1880        -328.4547    -330.6142       2.1596   315.2
0.1885        -328.4956    -330.5313       2.0357   297.1
0.1890        -328.4568    -330.4614       2.0046   292.6
0.1895        -328.4338    -330.4279       1.9942   291.1
0.1900        -328.4555    -330.4418       1.9863   289.9
0.1905        -328.4212    -330.4881       2.0669   301.7
0.1910        -328.4167    -330.5520       2.1353   311.7
0.1915        -328.3785    -330.6111       2.2326   325.9
0.1920        -328.4019    -330.6410       2.2391   326.8
0.1925        -328.3888    -330.6197       2.2309   325.6
0.1930        -328.3369    -330.5401       2.2032   321.6
0.1935        -328.3211    -330.4194       2.0983   306.3
0.1940        -328.3113    -330.2907       1.9794   288.9
0.1945        -328.2478    -330.1916       1.9439   283.7
0.1950        -328.2444    -330.1435       1.8990   277.2
0.1955        -328.2513    -330.1662       1.9149   279.5
0.1960        -328.2328    -330.2513       2.0185   294.6
0.1965        -328.1759    -330.3609       2.1851   319.0
0.1970        -328.2207    -330.4539       2.2331   326.0
0.1975        -328.2507    -330.4861       2.2354   326.3
0.1980        -328.3118    -330.4538       2.1419   312.7
0.1985        -328.3227    -330.3721       2.0494   299.2
0.1990        -328.3141    -330.2602       1.9461   284.1
0.1995        -328.2825    -330.1486       1.8661   272.4
0.2000        -328.2040    -330.0833       1.8793   274.3
0.2005        -328.1734    -330.0798       1.9064   278.3
0.2010        -328.1881    -330.1361       1.9480   284.3
0.2015        -328.2523    -330.2343       1.9820   289.3
0.2020        -328.2035    -330.3351       2.1316   311.1
0.2025        -328.2136    -330.4055       2.1919   319.9
0.2030        -328.2129    -330.4176       2.2047   321.8
0.2035        -328.2296    -330.3681       2.1385   312.2
0.2040        -328.2298    -330.2786       2.0488   299.1
0.2045        -328.2614    -330.1799       1.9185   280.0
0.2050        -328.2640    -330.1077       1.8437   269.1
0.2055        -328.2592    -330.0958       1.8365   268.1
0.2060        -328.2803    -330.1452       1.8649   272.2
0.2065        -328.2602    -330.2464       1.9862   289.9
0.2070        -328.2619    -330.3722       2.1103   308.0
0.2075        -328.2881    -330.5088       2.2207   324.2
0.2080        -328.3398    -330.6266       2.2868   333.8
0.2085        -328.3210    -330.7052       2.3843   348.0
0.2090        -328.3237    -330.7400       2.4163   352.7
0.2095        -328.3073    -330.7292       2.4219   353.5
0.2100        -328.2791    -330.6744       2.3953   349.6
0.2105        -328.3166    -330.5980       2.2815   333.0
0.2110        -328.4077    -330.5440       2.1363   311.8
0.2115        -328.4375    -330.5269       2.0894   305.0
0.2120        -328.4504    -330.5477       2.0973   306.1
0.2125        -328.4437    -330.5920       2.1483   313.6
0.2130        -328.4863    -330.6474       2.1610   315.4
0.2135        -328.4814    -330.6894       2.2080   322.3
0.2140        -328.4643    -330.6965       2.2321   325.8
0.2145        -328.4338    -330.6579       2.2241   324.6
0.2150        -328.4318    -330.5691       2.1373   312.0
0.2155        -328.4106    -330.4424       2.0318   296.6
0.2160        -328.4146    -330.2989       1.8843   275.1
0.2165        -328.3928    -330.1717       1.7789   259.7
0.2170        -328.4015    -330.0875       1.6860   246.1
0.2175        -328.4477    -330.0617       1.6140   235.6
0.2180        -328.3844    -330.1002       1.7158   250.5
0.2185        -328.4334    -330.1918       1.7583   256.7
0.2190        -328.4599    -330.3105       1.8506   270.1
0.2195        -328.5311    -330.4317       1.9006   277.4
0.2200        -328.5061    -330.5267       2.0206   294.9
0.2205        -328.5561    -330.5815       2.0255   295.7
0.2210        -328.5826    -330.5844       2.0018   292.2
0.2215        -328.5665    -330.5334       1.9668   287.1
0.2220        -328.5182    -330.4488       1.9305   281.8
0.2225        -328.5468    -330.3677       1.8209   265.8
0.2230        -328.5807    -330.3333       1.7526   255.8
0.2235        -328.5825    -330.3719       1.7894   261.2
0.2240        -328.6102    -330.4675       1.8573   271.1
0.2245        -328.5758    -330.5905       2.0147   294.1
0.2250        -328.6339    -330.6865       2.0526   299.6
0.2255        -328.6580    -330.7313       2.0732   302.6
0.2260        -328.6414    -330.7102       2.0689   302.0
0.2265        -328.6608    -330.6345       1.9736   288.1
0.2270        -328.6066    -330.5328       1.9262   281.2
0.2275        -328.6388    -330.4396       1.8008   262.9
0.2280        -328.5857    -330.3838       1.7981   262.5
0.2285        -328.5408    -330.3753       1.8346   267.8
0.2290        -328.5688    -330.4159       1.8471   269.6
0.2295        -328.5827    -330.4889       1.9062   278.2
0.2300        -328.5809    -330.5735       1.9926   290.9
0.2305        -328.5955    -330.6450       2.0495   299.2
0.2310        -328.6045    -330.6863       2.0818   303.9
0.2315        -328.6147    -330.6907       2.0760   303.0
0.2320        -328.6043    -330.6596       2.0553   300.0
0.2325        -328.5948    -330.5913       1.9966   291.4
0.2330        -328.6151    -330.5093       1.8942   276.5
0.2335        -328.6679    -330.4270       1.7591   256.8
0.2340        -328.6674    -330.3600       1.6926   247.1
0.2345        -328.6170    -330.3313       1.7143   250.2
0.2350        -328.5959    -330.3503       1.7544   256.1
0.2355        -328.6591    -330.4075       1.7484   255.2
0.2360        -328.6925    -330.4730       1.7805   259.9
0.2365        -328.6926    -330.5296       1.8370   268.2
0.2370        -328.6971    -330.5577       1.8606   271.6
0.2375        -328.7585    -330.5522       1.7937   261.8
0.2380        -328.7313    -330.5242       1.7929   261.7
0.2385        -328.7133    -330.4880       1.7747   259.0
0.2390        -328.6792    -330.4577       1.7786   259.6
0.2395        -328.6943    -330.4447       1.7504   255.5
0.2400        -328.6801    -330.4499       1.7698   258.3
0.2405        -328.6542    -330.4726       1.8184   265.4
0.2410        -328.6355    -330.5274       1.8920   276.2
0.2415        -328.6632    -330.6062       1.9430   283.6
0.2420        -328.6633    -330.6997       2.0364   297.3
0.2425        -328.6678    -330.7837       2.1159   308.9
0.2430        -328.6830    -330.8235       2.1405   312.5
0.2435        -328.6575    -330.8130       2.1555   314.6
0.2440        -328.6554    -330.7516       2.0961   306.0
0.2445        -328.6645    -330.6463       1.9818   289.3
0.2450        -328.6738    -330.5320       1.8582   271.2
0.2455        -328.6804    -330.4453       1.7650   257.6
0.2460        -328.6851    -330.4111       1.7259   251.9
